2026-03-07 16:45:25,167 | INFO | Laserflix | 🔄 Ollama indisponível para Babys-First-Year-Photo-Frame-131586527, usando fallback completo
2026-03-07 16:45:25,197 | INFO | Laserflix | 📊 [quality] brilho=217.0 sat=42.0 fundo_branco~40.9% → vision=False
2026-03-07 16:45:25,198 | INFO | Laserflix | ⚠️ Visão desativada para Babys-First-Year-Photo-Frame-Laser-Cut-Graphics-122536248-1-1-580x387.jpg (brilho=217.0 sat=42.0 fundo~40.9%)
2026-03-07 16:45:25,199 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:45:25,200 | INFO | Laserflix | 🔄 Ollama indisponível para Babys-First-Year-Photo-Frame-131661012, usando fallback completo
2026-03-07 16:45:25,228 | INFO | Laserflix | 📊 [quality] brilho=216.5 sat=40.2 fundo_branco~40.6% → vision=False
2026-03-07 16:45:25,229 | INFO | Laserflix | ⚠️ Visão desativada para Babys-First-Year-Photo-Frame-Laser-Cut-Graphics-122536251-1-1-580x387.jpg (brilho=216.5 sat=40.2 fundo~40.6%)
2026-03-07 16:45:25,230 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:45:25,231 | INFO | Laserflix | 🔄 Ollama indisponível para Babys-First-Year-Photo-Frame-131661016, usando fallback completo
2026-03-07 16:45:25,258 | INFO | Laserflix | 📊 [quality] brilho=215.8 sat=43.9 fundo_branco~41.8% → vision=False
2026-03-07 16:45:25,258 | INFO | Laserflix | ⚠️ Visão desativada para Babys-First-Year-Photo-Frame-Laser-Cut-Graphics-122536258-1-1-580x387.jpg (brilho=215.8 sat=43.9 fundo~41.8%)
2026-03-07 16:45:25,262 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:45:25,262 | INFO | Laserflix | 🔄 Ollama indisponível para Babys-First-Year-Photo-Frame-131661017, usando fallback completo
2026-03-07 16:45:25,291 | INFO | Laserflix | 📊 [quality] brilho=214.9 sat=47.1 fundo_branco~41.6% → vision=False
